State seed;126;Test seed;0
Test_Count;Random100;Consecutive 0-99
0;-nan;-nan
5520;0.0497585;0.0474638
5530;0.0498493;0.0474985
5540;0.0498195;0.0474729
5550;0.0498498;0.0473874
5560;0.0498801;0.0473022
5570;0.0498504;0.0473968
5580;0.0498208;0.0474313
5590;0.0497317;0.047585
5600;0.0496429;0.047619
5610;0.0498515;0.047653
5620;0.0498221;0.0475682
5630;0.0499112;0.0476613
5640;0.0498818;0.0476359
5650;0.0498525;0.0477286
5660;0.0498822;0.0478799
5670;0.049853;0.047913
5680;0.0499413;0.0478873
5690;0.0499121;0.0478617
5700;0.049883;0.0478363
5710;0.0498541;0.0478109
5720;0.0498252;0.0478438
5730;0.0497382;0.0478185
5740;0.0497677;0.0477933
5750;0.049913;0.0478841
5760;0.0499421;0.0478009
5770;0.0499133;0.0478336
5780;0.049827;0.0477509
5790;0.0497985;0.0477835
5800;0.0497701;0.0478161
5810;0.0497992;0.0479059
5820;0.0497709;0.0479381
5830;0.0497427;0.0479131
5840;0.0497717;0.0478881
5850;0.0496866;0.0479202
5860;0.0497156;0.0478953
5870;0.0496877;0.0479841
5880;0.0497732;0.0479025
5890;0.0497453;0.0479343
5900;0.049774;0.0479096
5910;0.0497462;0.0478849
5920;0.0498311;0.0479167
5930;0.049747;0.0478921
5940;0.0498317;0.0478676
5950;0.049916;0.0478431
5960;0.05;0.0478188
5970;0.0500279;0.0478504
5980;0.0500557;0.0478261
5990;0.0499722;0.0477462
6000;0.05;0.0477222
6010;0.0499723;0.0477537
6020;0.05;0.0477298
6030;0.0500276;0.0477059
6040;0.05;0.0476821
6050;0.0500275;0.0476033
6060;0.05;0.0476348
6070;0.0499176;0.0476661
6080;0.0498355;0.0476425
6090;0.0498632;0.0476738
6100;0.0498907;0.0477049
6110;0.0498636;0.0476814
6120;0.0498911;0.047658
6130;0.0499184;0.0475802
6140;0.0498371;0.0476113
6150;0.0498645;0.0477507
6160;0.0498918;0.0477273
6170;0.049973;0.047758
6180;0.0500539;0.0478425
6190;0.0499731;0.0479268
6200;0.0498925;0.047957
6210;0.0499732;0.0478798
6220;0.05;0.0478564
6230;0.0500267;0.0478331
6240;0.05;0.0478098
6250;0.0500267;0.0477867
6260;0.05;0.0477636
6270;0.0499203;0.0477937
